Wild Horses;The Rolling Stones;1971;72;0.432;0.389;0.0788;139.506;4
Another One Bites The Dust;Queen;1980;73;0.933;0.528;0.163;109.975;4
Lithium;Nirvana;1991;68;0.678;0.656;0.0631;123.207;4
Yesterday;The Beatles;1965;77;0.332;0.179;0.0886;96.529;4
When I Come Around;Green Day;1994;74;0.531;0.909;0.231;97.546;4
Sex on Fire;Kings of Leon;2008;80;0.542;0.905;0.136;153.398;4
Heart of Gold;Neil Young;1972;73;0.541;0.459;0.099;171.165;4
Hey Ya!;OutKast;2003;78;0.727;0.974;0.174;79.526;4
Superstition;Stevie Wonder;2002;0;0.643;0.628;0.0359;100.392;4
Hells Bells;AC/DC;1980;75;0.389;0.873;0.273;106.767;4
Eleanor Rigby;The Beatles;1966;69;0.581;0.28;0.305;137.831;4
No One Knows;Queens of the Stone Age;2002;65;0.507;0.588;0.373;170.889;4
Ace of Spades;Motàrhead;1980;74;0.329;0.974;0.0904;140.862;4
A Hard Day's Night;The Beatles;1964;67;0.59;0.805;0.0996;138.514;4
Tom Sawyer;Rush;1981;72;0.536;0.901;0.06;87.559;4
Fortunate Son;Creedence Clearwater Revival;1969;81;0.64;0.663;0.152;132.77;4
Anarchy In The U.K.;Sex Pistols;1996;30;0.273;0.953;0.968;134.887;4
Drive;Incubus;1999;74;0.645;0.792;0.119;90.565;4
Somebody to Love;Jefferson Airplane;1967;72;0.504;0.578;0.321;132.411;4
School's Out;Alice Cooper;1972;67;0.294;0.745;0.676;134.364;4
Respect;Aretha Franklin;1967;73;0.805;0.558;0.0546;114.95;4
Last Resort;Papa Roach;2000;2;0.581;0.887;0.268;90.578;4
Refugee;Tom Petty and the Heartbreakers;1979;64;0.579;0.705;0.0704;116.173;4
La Grange;ZZ Top;1973;76;0.545;0.64;0.196;80.544;4
Bad Moon Rising;Creedence Clearwater Revival;1969;78;0.508;0.774;0.063;178.946;4
Nights In White Satin;The Moody Blues;1967;68;0.195;0.483;0.0686;84.71;4
Bridge Over Troubled Water;Simon & Garfunkel;1970;72;0.149;0.206;0.115;79.764;4
All Apologies;Nirvana;1993;69;0.446;0.632;0.0881;113.176;4
Born in the U.S.A.;Bruce Springsteen;1984;75;0.398;0.952;0.1;122.093;4
Pour Some Sugar On Me;Def Leppard;1987;74;0.267;0.953;0.283;84.989;4
Better Man;Pearl Jam;1994;67;0.445;0.671;0.0791;125.712;4
Over the Hills and Far Away;Led Zeppelin;1973;61;0.412;0.54;0.0849;96.783;4
Blister In The Sun;Violent Femmes;1983;69;0.726;0.537;0.0707;96.91;4
Californication;Red Hot Chili Peppers;1999;81;0.592;0.767;0.127;96.483;4
Roadhouse Blues [We're Gonna Have A Real Good Time] - 2020 Remaster;The Doors;2020;33;0.629;0.458;0.392;122.1;4
Tiny Dancer;Elton John;1971;79;0.414;0.428;0.148;145.075;4
Aqualung;Jethro Tull;1971;65;0.477;0.479;0.0906;122.531;4
Knockin' On Heaven's Door;Bob Dylan;1973;73;0.513;0.396;0.11;140.208;4
For What It's Worth;Buffalo Springfield;1966;75;0.653;0.519;0.101;98.883;4
White Rabbit;Jefferson Airplane;1967;69;0.551;0.293;0.0864;106.798;4
What's Going On;Marvin Gaye;1971;58;0.433;0.733;0.0827;102.662;4
You Ain't Seen Nothing Yet;Bachman-Turner Overdrive;1974;70;0.475;0.439;0.223;118.392;4
Thunder Road;Bruce Springsteen;1975;66;0.369;0.758;0.531;140.71;4
Tumbling Dice;The Rolling Stones;1972;60;0.615;0.91;0.281;111.013;4
Ruby Tuesday;The Rolling Stones;1967;62;0.524;0.553;0.174;104.578;4
Epic;Faith No More;1989;70;0.358;0.893;0.126;174.238;4
Crazy Train;Ozzy Osbourne;1980;56;0.453;0.905;0.26;137.571;4
Live Forever;Oasis;1994;24;0.104;0.794;0.355;83.972;4
Dust in the Wind;Kansas;1977;77;0.475;0.322;0.11;93.503;4
Pinball Wizard;The Who;1969;68;0.543;0.715;0.256;124.011;4
In The Air Tonight;Phil Collins;1981;77;0.446;0.239;0.0697;189.507;4
Burning Down the House;Talking Heads;1983;66;0.779;0.87;0.0399;102.689;4
Suite: Judy Blue Eyesosby; Stills & Nash;1969;64;0.451;0.364;0.197;154.206;4
Paradise By the Dashboard Light;Meat Loaf;1977;67;0.326;0.872;0.461;173.381;4
Bennie And The Jets;Elton John;1973;61;0.665;0.673;0.497;132.642;4
Johnny B. Goode;Chuck Berry;1959;75;0.534;0.803;0.307;167.983;4
One Step Closer;Linkin Park;2000;75;0.492;0.969;0.0787;95.136;4
The Boys Of Summer;Don Henley;1984;76;0.516;0.549;0.184;176.941;4
All The Small Things;blink-182;1999;5;0.439;0.891;0.547;148.599;4
Chop Suey!;System Of A Down;2001;80;0.419;0.934;0.132;127.288;4
No Woman, No Cry (Arr. Kanneh-Mason);Various Artists;2020;4;0.29;0.0227;0.117;79.887;4
Immigrant Song - Remaster;Led Zeppelin;1970;76;0.564;0.932;0.349;112.937;4
Proud Mary;Various Artists;2020;12;0.673;0.674;0.112;121.031;4
The End;The Doors;1967;61;0.347;0.302;0.14;105.702;4
Scar Tissue;Red Hot Chili Peppers;1999;77;0.595;0.717;0.108;88.969;4
Rebel Yell;Billy Idol;1983;72;0.53;0.864;0.354;166.312;4
Vertigo;U2;2004;51;0.416;0.819;0.122;140.083;4
Times Like These;Foo Fighters;2002;1;0.373;0.905;0.321;144.574;4
I Wanna Be Sedated;Ramones;1978;66;0.56;0.965;0.169;162.825;4
It's Only Rock'n'Roll (But I Like It) - Remastered 2009;The Rolling Stones;1974;57;0.616;0.957;0.318;128.517;4
White Wedding - Pt. 1;Billy Idol;1982;69;0.673;0.814;0.343;147.193;4
Sabotage;Beastie Boys;1994;72;0.324;0.938;0.0961;168.131;4
Brown Eyed Girl;Van Morrison;1967;79;0.491;0.583;0.407;150.572;4
Somebody To Love - Remastered 2011;Queen;1976;68;0.497;0.693;0.215;111.539;3
Rockin' in the Free World;Neil Young;1989;66;0.491;0.883;0.369;131.75;4
Uprising;Muse;2009;76;0.602;0.905;0.117;128.019;4
Fake Plastic Trees;Radiohead;1995;69;0.454;0.229;0.202;73.552;4
Train in Vain (Stand by Me) - Remastered;The Clash;1979;65;0.761;0.722;0.132;122.764;4
Lightning Crashes;Live;1994;67;0.385;0.433;0.11;89.974;4
Wake Me up When September Ends;Green Day;2004;77;0.546;0.814;0.0972;104.98;4
Be My Baby;The Ronettes;2011;70;0.511;0.769;0.0921;129.657;4
Get Back - Remastered 2009;The Beatles;1970;64;0.761;0.592;0.61;123.095;4
Are You Gonna Go My Way;Lenny Kravitz;1993;73;0.619;0.67;0.331;129.269;4
Hey You;Pink Floyd;1979;68;0.588;0.301;0.128;112.458;4
Under My Thumb;The Rolling Stones;1966;64;0.732;0.494;0.0919;126.986;4
Behind Blue Eyes;The Who;1971;70;0.394;0.622;0.0892;126.844;4
Instant Karma! (We All Shine On) - Remastered 2010;John Lennon;2010;57;0.628;0.931;0.0997;119.976;4
Help! - Remastered 2009;The Beatles;1965;72;0.534;0.725;0.0994;95.003;4
Dancing Queen;ABBA;1976;61;0.539;0.884;0.76;100.812;4
Barracuda;Heart;1977;74;0.547;0.691;0.144;137.148;4
Today - Remastered;The Smashing Pumpkins;1993;61;0.457;0.825;0.0548;82.539;4
Radar Love;Golden Earring;2008;63;0.504;0.719;0.075;102.144;4
Rocket Man (I Think It's Going To Be A Long, Long Time);Elton John;1972;82;0.601;0.532;0.0925;136.571;4
Champagne Supernova - Remastered;Oasis;1995;65;0.294;0.825;0.354;150.338;4
